;Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
317;14.0;29.0;11;18;5
318;14.0;29.0;11;19;5
319;14.0;30.0;11;20;5
320;14.0;29.0;11;21;5
321;13.0;29.0;11;22;5
322;13.0;29.0;11;23;5
323;14.0;29.0;11;24;5
324;13.0;29.0;11;25;5
325;13.0;29.0;11;26;5
326;14.0;29.0;11;27;5
327;13.0;29.0;11;28;5
328;13.0;29.0;11;29;5
329;14.0;29.0;11;30;5
330;14.0;27.0;12;2;6
331;15.0;28.0;12;1;6
332;17.0;28.0;12;3;6
333;16.0;28.0;12;4;6
334;15.0;27.0;12;5;6
335;15.0;28.0;12;6;6
336;14.0;27.0;12;7;6
337;15.0;27.0;12;8;6
338;14.0;28.0;12;9;6
339;17.0;28.0;12;10;6
340;15.0;27.0;12;11;6
341;15.0;27.0;12;12;6
342;15.0;29.0;12;13;6
343;16.0;29.0;12;14;6
344;15.0;28.0;12;15;6
345;15.0;28.0;12;16;6
346;16.0;28.0;12;17;6
347;15.0;28.0;12;18;6
348;16.0;27.0;12;19;6
349;15.0;27.0;12;20;6
350;16.0;28.0;12;21;6
351;15.0;28.0;12;22;6
352;15.0;28.0;12;23;6
353;17.0;28.0;12;24;6
354;15.0;27.0;12;25;6
355;15.0;28.0;12;26;6
356;15.0;27.0;12;27;6
357;15.0;28.0;12;28;6
358;15.0;27.0;12;29;6
359;15.0;27.0;12;30;6
360;17.0;28.0;13;2;7
361;17.0;28.0;13;1;7
362;17.0;28.0;13;3;7
363;17.0;28.0;13;4;7
364;16.0;28.0;13;6;7
365;17.0;28.0;13;5;7
366;17.0;28.0;13;7;7
367;17.0;28.0;13;8;7
368;17.0;28.0;13;9;7
369;17.0;28.0;13;10;7
370;17.0;28.0;13;11;7
371;17.0;28.0;13;12;7
372;17.0;28.0;13;13;7
373;17.0;28.0;13;14;7
374;17.0;28.0;13;15;7
375;17.0;28.0;13;16;7
376;18.0;28.0;13;17;7
377;17.0;28.0;13;18;7
378;17.0;28.0;13;19;7
379;17.0;28.0;13;20;7
380;18.0;28.0;13;21;7
381;17.0;28.0;13;22;7
382;16.0;28.0;13;24;7
383;17.0;28.0;13;23;7
384;17.0;28.0;13;26;7
385;16.0;28.0;13;25;7
386;17.0;28.0;13;28;7
387;17.0;28.0;13;27;7
388;17.0;28.0;13;30;7
389;18.0;28.0;13;29;7
390;18.0;27.0;14;2;7
391;18.0;27.0;14;1;7
392;17.0;27.0;14;3;7
393;17.0;27.0;14;4;7
394;19.0;27.0;14;5;7
395;18.0;27.0;14;6;7
396;17.0;27.0;14;7;7
397;18.0;27.0;14;8;7
